Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
L001,Male,Yes,0,Graduate,No,5000,2000,150,360,1,Urban,No
L002,Female,No,1,Graduate,Yes,3000,0,100,360,1,Rural,Yes
L003,Male,Yes,2,Not Graduate,No,4000,1500,120,360,0,Semiurban,No
L004,Male,No,0,Graduate,No,6000,0,200,360,1,Urban,Yes
L005,Female,Yes,3+,Graduate,No,3500,1200,130,360,0,Rural,No
L006,Male,No,1,Not Graduate,Yes,2500,1000,90,360,1,Semiurban,Yes
L007,Female,Yes,2,Graduate,No,4500,1500,160,360,1,Urban,Yes
L008,Male,No,0,Not Graduate,No,2000,500,80,360,0,Rural,No
L009,Female,Yes,1,Graduate,No,5500,2000,170,360,1,Semiurban,Yes
L010,Male,No,0,Graduate,Yes,3000,0,100,360,0,Urban,No
L011,Female,Yes,0,Graduate,No,4000,1000,120,360,1,Rural,Yes
L012,Male,No,1,Not Graduate,No,2500,500,90,360,0,Semiurban,No
L013,Female,Yes,2,Graduate,No,5000,2000,150,360,1,Urban,Yes
L014,Male,No,3+,Graduate,Yes,3500,1000,130,360,0,Rural,No
L015,Female,Yes,0,Not Graduate,No,4500,500,160,360,1,Semiurban,Yes
L016,Male,Yes,1,Graduate,No,6000,2000,200,360,1,Urban,Yes
L017,Female,No,2,Graduate,Yes,3000,0,100,360,0,Rural,No
L018,Male,Yes,0,Not Graduate,No,4000,1500,120,360,1,Semiurban,Yes
L019,Female,No,1,Graduate,No,2500,500,90,360,0,Urban,No
L020,Male,Yes,2,Graduate,No,5500,2000,170,360,1,Rural,Yes
